,Name  ↓,Type  ↓,Strain  ↓,Style  ↓
0,Psycho Collab 416 (1),Recipe,,Psycho Collab
1,Rye 471,Recipe,,Rye
2,Rye 482,Recipe,,Rye
3,Wahoo Hefeweizen 0 0 BS,Analysis,Wahoo,Hefeweizen
4,WLP001 Wee Heavy 11 BS,Beer,WLP001,Wee Heavy
5,WLP029 WLP810 WLP080 WLP940 WLP001 WLP830 WLP051 IBU One Page,Graph,*,*
6,WLP001 Wee Heavy 14 BS,Beer,WLP001,Wee Heavy
7,WLP004 Wee Heavy 22 BS,Beer,WLP004,Wee Heavy
8,WLP004 Wee Heavy 25 BS,Beer,WLP004,Wee Heavy
9,WLP005 Wee Heavy 28 BS,Beer,WLP005,Wee Heavy
10,WLP005 Wee Heavy 13 BS,Beer,WLP005,Wee Heavy
11,WLP005 Wee Heavy 24 BS,Beer,WLP005,Wee Heavy
12,WLP007 Wee Heavy 20 BS,Beer,WLP007,Wee Heavy
13,WLP008 Wee Heavy 8 BS,Beer,WLP008,Wee Heavy
14,WLP008 Wee Heavy 7 BS,Beer,WLP008,Wee Heavy
15,WLP019 WLP040 WLP7245 WLP052 WLP780 Cal common yeast trials,Graph,*,*
16,WLP028 Wee Heavy 23 BS,Beer,WLP028,Wee Heavy
17,WLP028 Wee Heavy 33 BS,Beer,WLP028,Wee Heavy
18,WLP041 Wee Heavy 1 BS,Beer,WLP041,Wee Heavy
19,WLP041 Wee Heavy 5 BS,Beer,WLP041,Wee Heavy
20,WLP060 Wee Heavy 15 BS,Beer,WLP060,Wee Heavy
21,WLP060 Wee Heavy 0 BS,Beer,WLP060,Wee Heavy
22,WLP300 Wee Heavy 21 BS,Beer,WLP300,Wee Heavy
23,WLP300 Wee Heavy 31 BS,Beer,WLP300,Wee Heavy
24,WLP320 Wee Heavy 10 BS,Beer,WLP320,Wee Heavy
25,WLP351 Wee Heavy 32 BS,Beer,WLP351,Wee Heavy
26,WLP351 Wee Heavy 30 BS,Beer,WLP351,Wee Heavy
27,WLP380 Wee Heavy 6 BS,Beer,WLP380,Wee Heavy
28,WLP410 Wee Heavy 29 BS,Beer,WLP410,Wee Heavy
29,WLP530 Wee Heavy 3 BS,Beer,WLP530,Wee Heavy
30,WLP530 Wee Heavy 16 BS,Beer,WLP530,Wee Heavy
31,WLP540 Wee Heavy 18 BS,Beer,WLP540,Wee Heavy
32,WLP540 Wee Heavy 19 BS,Beer,WLP540,Wee Heavy
33,WLP545 Wee Heavy 9 BS,Beer,WLP545,Wee Heavy
34,WLP545 Wee Heavy 4 BS,Beer,WLP545,Wee Heavy
35,WLP575 Wee Heavy 2 BS,Beer,WLP575,Wee Heavy
36,WLP575 Wee Heavy 20 BS,Beer,WLP575,Wee Heavy
37,Pale Ale WL 1.0,Recipe,,Pale Ale
38,WLP023 Rye Beer 1 01 Marks 24 HL,Beer,WLP023,Rye Beer
39,WLP410 Rye Beer 1 02 Marks 24 HL,Beer,WLP410,Rye Beer
40,WLP565 Rye Beer 1 03 Marks 24 HL,Beer,WLP565,Rye Beer
41,WLP590 Rye Beer 1 04 Marks 24 HL,Beer,WLP590,Rye Beer
42,English Style IPA BM 10,Recipe,,English Style IPA
43,WLP001 Porter 2 01 Marks 24 HL,Beer,WLP001,Porter
44,WLP003 Porter 2 02 Marks 24 HL,Beer,WLP003,Porter
45,WLP007 Porter 2 03 Marks 24 HL,Beer,WLP007,Porter
46,WLP550 Porter 2 04 Marks 24 HL,Beer,WLP550,Porter
47,WLP072 Saison 25 NA,Beer,WLP072,Saison
48,WLP400 Saison 25 NA,Beer,WLP400,Saison
49,WLP001 American Brown Ale 27 BS,Beer,WLP001,American Brown Ale
50,WLP007 American Brown Ale 27 BS,Beer,WLP007,American Brown Ale
51,WLP023 American Brown Ale 27 BM,Beer,WLP023,American Brown Ale
52,WLP041 American Brown Ale 27 BM,Beer,WLP041,American Brown Ale
53,WLP051 American Brown Ale 27 BS,Beer,WLP051,American Brown Ale
54,WLP090 American Brown Ale 27 BS,Beer,WLP090,American Brown Ale
55,WLP001 English Mild 28 BM,Beer,WLP001,English Mild
56,WLP002 English Mild 28 BS,Beer,WLP002,English Mild
57,WLP005 English Mild 28 BS,Beer,WLP005,English Mild
58,WLP013 English Mild 28 BM,Beer,WLP013,English Mild
59,WLP023 English Mild 28 BS,Beer,WLP023,English Mild
60,WLP028 English Mild 28 BS,Beer,WLP028,English Mild
61,WLP028 American Blonde Ale 29 BS,Beer,WLP028,American Blonde Ale
62,WLP029 American Blonde Ale 29 BS,Beer,WLP029,American Blonde Ale
63,WLP060 American Blonde Ale 29 BS,Beer,WLP060,American Blonde Ale
64,WLP090 American Blonde Ale 29 BS,Beer,WLP090,American Blonde Ale
65,WLP028 American IPA 3 01 Marks 24 HL,Beer,WLP028,American IPA
66,WLP072 American IPA 3 02 Marks 24 HL,Beer,WLP072,American IPA
67,WLP090 American IPA 3 03 Marks 24 HL,Beer,WLP090,American IPA
68,WLP515 American IPA 3 04 Marks 24 HL,Beer,WLP515,American IPA
69,WLP001 American IPA 30 BM,Beer,WLP001,American IPA
70,WLP007 American IPA 30 BS,Beer,WLP007,American IPA
71,WLP008 American IPA 30 BS,Beer,WLP008,American IPA
72,WLP009 American IPA 30 BS,Beer,WLP009,American IPA
73,WLP028 American IPA 30 BS,Beer,WLP028,American IPA
74,WLP099 American IPA 30 BM,Beer,WLP099,American IPA
75,WLP005 Stout 31 NA,Beer,WLP005,Stout
76,WLP001 English Style IPA 32 BS,Beer,WLP001,English Style IPA
77,WLP001 Porter 33 BS,Beer,WLP001,Porter
78,WLP004 Porter 33 BS,Beer,WLP004,Porter
79,WLP005 Porter 33 BM,Beer,WLP005,Porter
80,WLP013 Porter 33 BM,Beer,WLP013,Porter
81,WLP023 Porter 33 BS,Beer,WLP023,Porter
82,WLP028 Porter 33 BS,Beer,WLP028,Porter
83,WLP036 Porter 33 BS,Beer,WLP036,Porter
84,WLP060 Porter 33 BS,Beer,WLP060,Porter
85,WLP080 Porter 33 BS,Beer,WLP080,Porter
86,WLP090 Porter 33 BS,Beer,WLP090,Porter
87,WLP400 Saison 34 BS,Beer,WLP400,Saison
88,WLP510 Saison 34 BS,Beer,WLP510,Saison
89,WLP565 Saison 34 BS,Beer,WLP565,Saison
90,WLP566 Saison 34 BM,Beer,WLP566,Saison
91,WLP570 Saison 34 BM,Beer,WLP570,Saison
92,WLP670 Saison 34 BS,Beer,WLP670,Saison
93,WLP001 Rye Beer 35 BS,Beer,WLP001,Rye Beer
94,WLP005 Rye Beer 35 BS,Beer,WLP005,Rye Beer
95,WLP007 Rye Beer 35 BM,Beer,WLP007,Rye Beer
96,WLP013 Rye Beer 35 BS,Beer,WLP013,Rye Beer
97,WLP080 Rye Beer 35 BS,Beer,WLP080,Rye Beer
98,WLP300 Hefeweizen 36 1 BS,Beer,WLP300,Hefeweizen
99,WLP320 Hefeweizen 36 2 BS,Beer,WLP320,Hefeweizen
100,WLP380 Hefeweizen 36 3 BS,Beer,WLP380,Hefeweizen
101,WLP410 Hefeweizen 36 4 BS,Beer,WLP410,Hefeweizen
102,WLP510 Hefeweizen 37 1 BM,Beer,WLP510,Hefeweizen
103,WLP630 Hefeweizen 37 2 BM,Beer,WLP630,Hefeweizen
104,WLP500 Hefeweizen 38 1 BS,Beer,WLP500,Hefeweizen
105,WLP565 Hefeweizen 38 2 BS,Beer,WLP565,Hefeweizen
106,WLP570 Hefeweizen 38 3 BS,Beer,WLP570,Hefeweizen
107,WLP400 Hefeweizen 38 4 BS,Beer,WLP400,Hefeweizen
108,WLP036 American Blonde Ale 39 1 BS,Beer,WLP036,American Blonde Ale
109,WLP051 American Blonde Ale 39 2 BS,Beer,WLP051,American Blonde Ale
110,WLP041 American Blonde Ale 39 3 BS,Beer,WLP041,American Blonde Ale
111,WLP810 American Blonde Ale 39 4 BS,Beer,WLP810,American Blonde Ale
112,WLP006 Am. Amber 4 01 Marks 24 HL,Beer,WLP006,Am. Amber
113,WLP036 Am. Amber 4 02 Marks 24 HL,Beer,WLP036,Am. Amber
114,WLP050 Am. Amber 4 03 Marks 24 HL,Beer,WLP050,Am. Amber
115,WLP530 Am. Amber 4 04 Marks 24 HL,Beer,WLP530,Am. Amber
116,WLP860 American Blonde Ale 40 1 BM,Beer,WLP860,American Blonde Ale
117,WLP029 American Blonde Ale 40 2 BM,Beer,WLP029,American Blonde Ale
118,WLP001 American Blonde Ale 41 1 BS,Beer,WLP001,American Blonde Ale
119,WLP060 American Blonde Ale 41 2 BS,Beer,WLP060,American Blonde Ale
120,WLP013 American Blonde Ale 41 3 BS,Beer,WLP013,American Blonde Ale
121,WLP028 American Blonde Ale 41 4 BS,Beer,WLP028,American Blonde Ale
122,WLP500 Saison 42 1 BS,Beer,WLP500,Saison
123,WLP862 American IPA 42 1 BS,Beer,WLP862,American IPA
124,WLP029 American IPA 42 2 BS,Beer,WLP029,American IPA
125,WLP565 Saison 42 2 BS,Beer,WLP565,Saison
126,WLP099 American IPA 42 3 BS,Beer,WLP099,American IPA
127,WLP566 Saison 42 3 BS,Beer,WLP566,Saison
128,WLP008 American IPA 42 4 BS,Beer,WLP008,American IPA
129,WLP568 Saison 42 4 BS,Beer,WLP568,Saison
130,Saison June BM 43,Recipe,,Saison June
131,WLP090 American IPA 43 1 BM,Beer,WLP090,American IPA
132,WLP585 Saison 43 1 BM,Beer,WLP585,Saison
133,WLP001 American IPA 43 2 BM,Beer,WLP001,American IPA
134,WLP540 Saison 43 2 BM,Beer,WLP540,Saison
135,Saison June BS 44,Recipe,,Saison June
136,WLP072 American IPA 44 1 BS,Beer,WLP072,American IPA
137,WLP570 Saison 44 1 BS,Beer,WLP570,Saison
138,WLP041 American IPA 44 2 BS,Beer,WLP041,American IPA
139,WLP510 Saison 44 2 BS,Beer,WLP510,Saison
140,WLP007 American IPA 44 3 BS,Beer,WLP007,American IPA
141,WLP072 Saison 44 3 BS,Beer,WLP072,Saison
142,WLP028 American IPA 44 4 BS,Beer,WLP028,American IPA
143,WLP400 Saison 44 4 BS,Beer,WLP400,Saison
144,WLP072 Am. Red 45 1 BS,Beer,WLP072,Am. Red
145,WLP001 Am. Red 45 3 BS,Beer,WLP001,Am. Red
146,WLP005 Am. Red 45 4 BS,Beer,WLP005,Am. Red
147,WLP060 Am. Red 46 1 BM,Beer,WLP060,Am. Red
148,WLP090 Am. Red 46 2 BM,Beer,WLP090,Am. Red
149,Amber BS 47,Recipe,,Amber
150,WLP008 Am. Red 47 1 BS,Beer,WLP008,Am. Red
151,WLP041 Am. Red 47 2 BS,Beer,WLP041,Am. Red
152,WLP862 Am. Red 47 3 BS,Beer,WLP862,Am. Red
153,WLP011 Am. Red 47 4 BS,Beer,WLP011,Am. Red
154,Amber BM 48,Recipe,,Amber
155,WLP001 American Brown Ale 48 1 BS,Beer,WLP001,American Brown Ale
156,WLP060 American Brown Ale 48 2 BS,Beer,WLP060,American Brown Ale
157,WLP080 American Brown Ale 48 3 BS,Beer,WLP080,American Brown Ale
158,WLP090 American Brown Ale 48 4 BS,Beer,WLP090,American Brown Ale
159,Amber BS 49,Recipe,,Amber
160,WLP041 American Brown Ale 49 1 BM,Beer,WLP041,American Brown Ale
161,WLP051 American Brown Ale 49 2 BM,Beer,WLP051,American Brown Ale
162,WLP029 Wheat Ale 5 05 Marks 24 HL,Beer,WLP029,Wheat Ale
163,WLP300 Wheat Ale 5 06 Marks 24 HL,Beer,WLP300,Wheat Ale
164,WLP380 Wheat Ale 5 07 Marks 24 HL,Beer,WLP380,Wheat Ale
165,WLP715 Wheat Ale 5 08 Marks 24 HL,Beer,WLP715,Wheat Ale
166,American Brown Ale BM 51,Recipe,,American Brown Ale
167,WLP001 American IPA 52 1 BS,Beer,WLP001,American IPA
168,WLP007 American IPA 52 2 BS,Beer,WLP007,American IPA
169,WLP004 American IPA 52 3 BS,Beer,WLP004,American IPA
170,WLP013 American IPA 52 4 BS,Beer,WLP013,American IPA
171,IPA BM 53,Recipe,,IPA
172,WLP023 American IPA 53 1 BM,Beer,WLP023,American IPA
173,WLP028 American IPA 53 2 BM,Beer,WLP028,American IPA
174,IPA BS 54,Recipe,,IPA
175,WLP060 American IPA 54 1 BS,Beer,WLP060,American IPA
176,WLP080 American IPA 54 2 BS,Beer,WLP080,American IPA
177,WLP041 American IPA 54 3 BS,Beer,WLP041,American IPA
178,English Style IPA BS 55,Recipe,,English Style IPA
179,WLP060 English Style IPA 55 1 BS,Beer,WLP060,English Style IPA
180,WLP007 English Style IPA 55 2 BS,Beer,WLP007,English Style IPA
181,WLP013 English Style IPA 55 3 BS,Beer,WLP013,English Style IPA
182,WLP023 English Style IPA 55 4 BS,Beer,WLP023,English Style IPA
183,English Style IPA BM 56,Recipe,,English Style IPA
184,WLP036 English Style IPA 56 1 BS,Beer,WLP036,English Style IPA
185,WLP051 English Style IPA 56 2 BM,Beer,WLP051,English Style IPA
186,WLP002 English Style IPA 57 1 BS,Beer,WLP002,English Style IPA
187,WLP004 English Style IPA 57 2 BM,Beer,WLP004,English Style IPA
188,WLP005 English Style IPA 57 3 BS,Beer,WLP005,English Style IPA
189,WLP041 English Style IPA 57 4 BS,Beer,WLP041,English Style IPA
190,Blonde Ale BS 58,Recipe,,Blonde Ale
191,WLP001 Kolsch 58 1 BS,Beer,WLP001,Kolsch
192,WLP001 Kolsch 58 3 BS,Beer,WLP001,Kolsch
193,WLP001 Kolsch 58 4 BS,Beer,WLP001,Kolsch
194,Saison BS 59,Recipe,,Saison
195,WLP565 Saison 59 1 BS,Beer,WLP565,Saison
196,WLP566 Saison 59 2 BM,Beer,WLP566,Saison
197,WLP568 Saison 59 3 BM,Beer,WLP568,Saison
198,WLP585 Saison 59 4 BS,Beer,WLP585,Saison
199,WLP802 Pilsner 6 13 Marks 24 HL,Beer,WLP802,Pilsner
200,WLP830 Pilsner 6 14 Marks 24 HL,Beer,WLP830,Pilsner
201,WLP862 Pilsner 6 15 Marks 24 HL,Beer,WLP862,Pilsner
202,WLP940 Pilsner 6 16 Marks 24 HL,Beer,WLP940,Pilsner
203,Saison BM 60,Recipe,,Saison
204,WLP530 Saison 60 1 BM,Beer,WLP530,Saison
205,WLP540 Saison 60 2 BM,Beer,WLP540,Saison
206,Saison BS 61,Recipe,,Saison
207,WLP006 Porter 62 1 BS,Beer,WLP006,Porter
208,WLP001 Porter 62 2 BS,Beer,WLP001,Porter
209,WLP011 Porter 62 3 BS,Beer,WLP011,Porter
210,WLP004 Porter 62 4 BS,Beer,WLP004,Porter
211,Brown Porter BS 63,Recipe,,Brown Porter
212,WLP023 Porter 63 1 BM,Beer,WLP023,Porter
213,WLP013 Porter 63 2 BM,Beer,WLP013,Porter
214,Brown Porter BS 64,Recipe,,Brown Porter
215,WLP080 Porter 64 1 BS,Beer,WLP080,Porter
216,WLP036 Porter 64 2 BM,Beer,WLP036,Porter
217,WLP028 Porter 64 3 BS,Beer,WLP028,Porter
218,WLP041 Porter 64 4 BS,Beer,WLP041,Porter
219,WLP001 American IPA 65 1 BS,Beer,WLP001,American IPA
220,WLP007 American IPA 65 2 BS,Beer,WLP007,American IPA
221,WLP008 American IPA 65 3 BS,Beer,WLP008,American IPA
222,WLP011 American IPA 65 4 BS,Beer,WLP011,American IPA
223,IPA BM 66,Recipe,,IPA
224,WLP051 American IPA 66 1 BM,Beer,WLP051,American IPA
225,WLP041 American IPA 66 2 BM,Beer,WLP041,American IPA
226,IPA BS 67,Recipe,,IPA
227,WLP060 American IPA 67 1 BS,Beer,WLP060,American IPA
228,WLP080 American IPA 67 2 BS,Beer,WLP080,American IPA
229,WLP029 American IPA 67 3 BS,Beer,WLP029,American IPA
230,WLP090 American IPA 67 4 BS,Beer,WLP090,American IPA
231,Belgian Golden BS 68,Recipe,,Belgian Golden
232,WLP500 Belgian Blonde 68 1 BS,Beer,WLP500,Belgian Blonde
233,WLP540 Belgian Blonde 68 2 BS,Beer,WLP540,Belgian Blonde
234,WLP530 Belgian Blonde 68 3 BS,Beer,WLP530,Belgian Blonde
235,Belgian Golden BM 69,Recipe,,Belgian Golden
236,WLP515 Belgian Blonde 69 1 BM,Beer,WLP515,Belgian Blonde
237,WLP510 Belgian Blonde 69 2 BM,Beer,WLP510,Belgian Blonde
238,Belgian Golden BS 70,Recipe,,Belgian Golden
239,WLP570 Belgian Blonde 70 1 BS,Beer,WLP570,Belgian Blonde
240,WLP575 Belgian Blonde 70 2 BS,Beer,WLP575,Belgian Blonde
241,WLP568 Belgian Blonde 70 3 BS,Beer,WLP568,Belgian Blonde
242,WLP585 Belgian Blonde 70 4 BS,Beer,WLP585,Belgian Blonde
243,Hefeweizen BS 71,Recipe,,Hefeweizen
244,WLP380 Hefeweizen 71 1 BS,Beer,WLP380,Hefeweizen
245,WLP300 Hefeweizen 71 2 BS,Beer,WLP300,Hefeweizen
246,WLP351 Hefeweizen 71 3 BS,Beer,WLP351,Hefeweizen
247,WLP320 Hefeweizen 71 4 BS,Beer,WLP320,Hefeweizen
248,Hefeweizen BM 72,Recipe,,Hefeweizen
249,WLP300 Hefeweizen 72 1 BM,Beer,WLP300,Hefeweizen
250,WLP320 Hefeweizen 72 2 BM,Beer,WLP320,Hefeweizen
251,Hefeweizen BS 73,Recipe,,Hefeweizen
252,WLP500 Hefeweizen 73 1 BS,Beer,WLP500,Hefeweizen
253,WLP510 Hefeweizen 73 2 BS,Beer,WLP510,Hefeweizen
254,WLP515 Hefeweizen 73 3 BS,Beer,WLP515,Hefeweizen
255,WLP530 Hefeweizen 73 4 BS,Beer,WLP530,Hefeweizen
256,Blonde Ale BS 74,Recipe,,Blonde Ale
257,WLP060 American Blonde Ale 74 1 BS,Beer,WLP060,American Blonde Ale
258,WLP001 American Blonde Ale 74 2 BS,Beer,WLP001,American Blonde Ale
259,WLP008 American Blonde Ale 74 3 BS,Beer,WLP008,American Blonde Ale
260,WLP029 American Blonde Ale 74 4 BS,Beer,WLP029,American Blonde Ale
261,Blonde Ale BM 75,Recipe,,Blonde Ale
262,WLP051 American Blonde Ale 75 1 BM,Beer,WLP051,American Blonde Ale
263,WLP041 American Blonde Ale 75 2 BM,Beer,WLP041,American Blonde Ale
264,Blonde Ale BS 76,Recipe,,Blonde Ale
265,WLP862 American Blonde Ale 76 1 BS,Beer,WLP862,American Blonde Ale
266,WLP830 American Blonde Ale 76 2 BS,Beer,WLP830,American Blonde Ale
267,WLP810 American Blonde Ale 76 3 BS,Beer,WLP810,American Blonde Ale
268,WLP835 American Blonde Ale 76 4 BS,Beer,WLP835,American Blonde Ale
269,Amber BS 77,Recipe,,Amber
270,WLP028 Am. Amber 77 2 BS,Beer,WLP028,Am. Amber
271,Amber BM 78,Recipe,,Amber
272,WLP007 Am. Amber 78 1 BM,Beer,WLP007,Am. Amber
273,Amber BS 79,Recipe,,Amber
274,WLP005 Am. Amber 79 1 BS,Beer,WLP005,Am. Amber
275,WLP001 Am. Amber 79 2 BS,Beer,WLP001,Am. Amber
276,WLP002 Am. Amber 79 3 BS,Beer,WLP002,Am. Amber
277,WLP004 Am. Amber 79 4 BS,Beer,WLP004,Am. Amber
278,WLP028 American IPA 8 01 Marks 24 HL,Beer,WLP028,American IPA
279,WLP072 American IPA 8 02 Marks 24 HL,Beer,WLP072,American IPA
280,WLP090 American IPA 8 03 Marks 24 HL,Beer,WLP090,American IPA
281,WLP515 American IPA 8 04 Marks 24 HL,Beer,WLP515,American IPA
282,American Brown Ale BS 80,Recipe,,American Brown Ale
283,WLP006 American Brown Ale 80 1 BS,Beer,WLP006,American Brown Ale
284,WLP001 American Brown Ale 80 2 BS,Beer,WLP001,American Brown Ale
285,WLP013 American Brown Ale 80 3 BS,Beer,WLP013,American Brown Ale
286,WLP002 American Brown Ale 80 4 BS,Beer,WLP002,American Brown Ale
287,American Brown BM 81,Recipe,,American Brown
288,WLP510 American Brown Ale 81 1 BM,Beer,WLP510,American Brown Ale
289,WLP300 American Brown Ale 81 2 BM,Beer,WLP300,American Brown Ale
290,American Brown Ale BS 82,Recipe,,American Brown Ale
291,WLP051 American Brown Ale 82 1 BS,Beer,WLP051,American Brown Ale
292,WLP004 American Brown Ale 82 2 BS,Beer,WLP004,American Brown Ale
293,WLP080 American Brown Ale 82 3 BS,Beer,WLP080,American Brown Ale
294,WLP041 American Brown Ale 82 4 BS,Beer,WLP041,American Brown Ale
295,Belgo IPA BS 83,Recipe,,Belgo IPA
296,WLP001 American IPA 83 1 BS,Beer,WLP001,American IPA
297,WLP007 American IPA 83 2 BS,Beer,WLP007,American IPA
298,WLP008 American IPA 83 3 BS,Beer,WLP008,American IPA
299,WLP011 American IPA 83 4 BS,Beer,WLP011,American IPA
300,Belgo IPA BM 84,Recipe,,Belgo IPA
301,WLP510 American IPA 84 1 BM,Beer,WLP510,American IPA
302,WLP570 American IPA 84 2 BM,Beer,WLP570,American IPA
303,Belgo IPA BS 85,Recipe,,Belgo IPA
304,WLP540 American IPA 85 1 BS,Beer,WLP540,American IPA
305,WLP515 American IPA 85 2 BS,Beer,WLP515,American IPA
306,WLP001 American IPA 85 3 BS,Beer,WLP001,American IPA
307,WLP300 American IPA 85 4 BS,Beer,WLP300,American IPA
308,English Style IPA BS 86,Recipe,,English Style IPA
309,WLP006 English Style IPA 86 1 BS,Beer,WLP006,English Style IPA
310,WLP023 English Style IPA 86 2 BS,Beer,WLP023,English Style IPA
311,WLP007 English Style IPA 86 3 BS,Beer,WLP007,English Style IPA
312,WLP013 English Style IPA 86 4 BS,Beer,WLP013,English Style IPA
313,English Style IPA BM 87,Recipe,,English Style IPA
314,WLP051 English Style IPA 87 1 BM,Beer,WLP051,English Style IPA
315,WLP028 English Style IPA 87 2 BM,Beer,WLP028,English Style IPA
316,English Style IPA BS 88,Recipe,,English Style IPA
317,WLP005 English Style IPA 88 1 BS,Beer,WLP005,English Style IPA
318,WLP002 English Style IPA 88 2 BS,Beer,WLP002,English Style IPA
319,WLP004 English Style IPA 88 3 BS,Beer,WLP004,English Style IPA
320,WLP041 English Style IPA 88 4 BS,Beer,WLP041,English Style IPA
321,Saison BS 89,Recipe,,Saison
322,WLP565 Saison 89 1 BS,Beer,WLP565,Saison
323,WLP566 Saison 89 2 BS,Beer,WLP566,Saison
324,WLP568 Saison 89 3 BS,Beer,WLP568,Saison
325,WLP585 Saison 89 4 BS,Beer,WLP585,Saison
326,BLEND Imperial Stout 9 11 Marks 24 HL,Beer,BLEND,Imperial Stout
327,BLEND Imperial Stout 9 12 Marks 24 HL,Beer,BLEND,Imperial Stout
328,Saison BM 90,Recipe,,Saison
329,WLP530 Saison 90 1 BM,Beer,WLP530,Saison
330,WLP540 Saison 90 2 BM,Beer,WLP540,Saison
331,Saison BS 91,Recipe,,Saison
332,WLP515 Saison 91 1 BS,Beer,WLP515,Saison
333,WLP570 Saison 91 2 BS,Beer,WLP570,Saison
334,WLP001 Saison 91 3 BS,Beer,WLP001,Saison
335,WLP500 Saison 91 4 BS,Beer,WLP500,Saison
336,Brown Porter BS 92,Recipe,,Brown Porter
337,Brown Porter BM 93,Recipe,,Brown Porter
338,Brown Porter BS 94,Recipe,,Brown Porter
339,Oskar Blues G'Night BS 95,Recipe,,Oskar Blues G'Night
340,WLP001 Am. Amber 95 1 BS,Beer,WLP001,Am. Amber
341,WLP028 Am. Amber 95 2 BS,Beer,WLP028,Am. Amber
342,WLP041 Am. Amber 95 3 BS,Beer,WLP041,Am. Amber
343,WLP051 Am. Amber 95 4 BS,Beer,WLP051,Am. Amber
344,Blonde Ale BS 96,Recipe,,Blonde Ale
345,Blonde Ale BS 97,Recipe,,Blonde Ale
346,IPA BS 98,Recipe,,IPA
347,WLP001 American IPA 98 1 BS,Beer,WLP001,American IPA
348,WLP008 American IPA 98 2 BS,Beer,WLP008,American IPA
349,WLP051 American IPA 98 3 BS,Beer,WLP051,American IPA
350,WLP060 American IPA 98 4 BS,Beer,WLP060,American IPA
351,WLP051 American IPA 99 1 BM,Beer,WLP051,American IPA
352,WLP060 American IPA 99 2 BM,Beer,WLP060,American IPA
353,IPA 99 BM,Recipe,,IPA
354,Brown Porter 207 WL,Recipe,,Brown Porter
355,WLP001 American Pale Ale 10 01 Marks 24 HL,Beer,WLP001,American Pale Ale
356,WLP002 American Pale Ale 10 02 Marks 24 HL,Beer,WLP002,American Pale Ale
357,WLP300 American Pale Ale 10 03 Marks 24 HL,Beer,WLP300,American Pale Ale
358,WLP530 American Pale Ale 10 04 Marks 24 HL,Beer,WLP530,American Pale Ale
359,IPA BS 100,Recipe,,IPA
360,WLP001 American IPA 100 1 BS,Beer,WLP001,American IPA
361,WLP008 American IPA 100 2 BS,Beer,WLP008,American IPA
362,WLP060 American IPA 100 3 BS,Beer,WLP060,American IPA
363,WLP051 American IPA 100 4 BS,Beer,WLP051,American IPA
364,WLP001 Porter 101 1 BS,Beer,WLP001,Porter
365,WLP006 Porter 101 2 BS,Beer,WLP006,Porter
366,WLP011 Porter 101 3 BS,Beer,WLP011,Porter
367,WLP001 Porter 101 4 BS,Beer,WLP001,Porter
368,WLP013 Porter 102 1 BM,Beer,WLP013,Porter
369,WLP023 Porter 102 2 BM,Beer,WLP023,Porter
370,TP Pale BS 103,Recipe,,TP Pale
371,WLP002 American Pale Ale 103 1 BS,Beer,WLP002,American Pale Ale
372,WLP028 American Pale Ale 103 2 BS,Beer,WLP028,American Pale Ale
373,WLP004 American Pale Ale 103 3 BS,Beer,WLP004,American Pale Ale
374,WLP039 American Pale Ale 103 4 BS,Beer,WLP039,American Pale Ale
375,TP Pale BM 104,Recipe,,TP Pale
376,TP Pale BM 104,Recipe,,TP Pale
377,WLP002 American Pale Ale 104 1 BM,Beer,WLP002,American Pale Ale
378,WLP039 American Pale Ale 104 2 BM,Beer,WLP039,American Pale Ale
379,TP Pale BS 105,Recipe,,TP Pale
380,WLP001 American Pale Ale 105 1 BS,Beer,WLP001,American Pale Ale
381,WLP011 American Pale Ale 105 2 BS,Beer,WLP011,American Pale Ale
382,WLP013 American Pale Ale 105 3 BS,Beer,WLP013,American Pale Ale
383,WLP028 American Pale Ale 105 4 BS,Beer,WLP028,American Pale Ale
384,TP Pale BM 106,Recipe,,TP Pale
385,WLP195 Frankenstout 106 NA,Beer,WLP195,Frankenstout
386,WLP029 American Pale Ale 106 2 BS,Beer,WLP029,American Pale Ale
387,Hangar 24 Collaboration IPA 107,Recipe,,Hangar 24 Collaboration
388,Zythos IPA BM 108,Recipe,,Zythos IPA
389,WLP099 American IPA 108 1 BM,Beer,WLP099,American IPA
390,WLP060 American IPA 108 2 BM,Beer,WLP060,American IPA
391,White House Honey Ale BS 109,Recipe,,White House Honey Ale
392,WLP001 Ale 109 1 BS,Beer,WLP001,Ale
393,WLP005 Ale 109 2 BS,Beer,WLP005,Ale
394,WLP039 Ale 109 3 BS,Beer,WLP039,Ale
395,White House Honey Ale BS 110,Recipe,,White House Honey Ale
396,WLP001 Ale 110 1 BS,Beer,WLP001,Ale
397,WLP005 Ale 110 2 BS,Beer,WLP005,Ale
398,WLP039 Ale 110 3 BS,Beer,WLP039,Ale
399,Pumpkin Ale BS 111,Recipe,,Pumpkin Ale
400,WLP002 Ale 111 1 BS,Beer,WLP002,Ale
401,WLP002 Ale 111 2 BS,Beer,WLP002,Ale
402,WLP037 Ale 111 3 BS,Beer,WLP037,Ale
403,WLP550 Ale 111 4 BS,Beer,WLP550,Ale
404,Saison BS 112,Recipe,,Saison
405,WLP565 Saison 112 1 BS,Beer,WLP565,Saison
406,WLP568 Saison 112 2 BS,Beer,WLP568,Saison
407,WLP566 Saison 112 3 BS,Beer,WLP566,Saison
408,WLP585 Saison 112 4 BS,Beer,WLP585,Saison
409,Saison BM 113,Recipe,,Saison
410,WLP530 Saison 113 1 BM,Beer,WLP530,Saison
